,0
aa_V,0.47478593696617705
hom_max_pos,0.42865278713893873
gene_span,0.32773610758569943
frac_disorder,0.26798254876831334
cv_LCM_Root_B,0.2485642056822082
aa_M,0.24343186253285734
aa_D,0.24266343320752395
cv_Leaf_B,0.23985055018817988
cv_MatEm_B,0.23284416860582324
aa_T,0.22989668226633947
mean_ltpm,0.22953351739904004
ltpm_LCM_Root_B,0.22800657573565997
aa_G,0.22591573323272557
frac_neg,0.21359513176480383
exon_len,0.19263896475495237
FDR_MatEm,0.18632085634875253
frac_pos,0.1849231878587271
ltpm_Root_B,0.17675971547308653
cv_AR_B,0.16645640770182424
tau,0.16367058020197897
aa_K,0.15884072404741725
n_exon_rec,0.15128871446472125
max_ltpm,0.1440750073347099
aa_S,0.13852564416738616
mean_logFC,0.13589793124489588
aa_C,0.13415067633795652
aa_H,0.13281743191468984
aa_P,0.12880817598327363
cv_Root_B,0.12364350532821762
cv_Anther_B,0.1203884948610868
aa_L,0.11845094530077921
net_charge,0.11501197514993221
hom_sum_pos,0.11359803495271152
aa_A,0.11169698881585942
elim_vs_noelim,0.10882990804143368
aa_Q,0.10712753104450648
logFC_youngEm,0.10364036682607745
aa_I,0.10244732470693452
logFC_LCM_Root,0.09889742522384228
FDR_LCM_Root,0.09825501501606843
ltpm_elim_mean,0.09498467842986695
anther_vs_leaf,0.09421145650857914
aa_F,0.09159569849153801
low_complexity,0.08519191028476032
seed_coexpr,0.08488846457372395
logFC_AR,0.08357317055184256
exons_per_tx,0.0817844201239178
aa_W,0.07598748639658895
FDR_youngEm,0.07232305031971985
aa_Y,0.0661669935823463
root_vs_leaf,0.06573955157004363
hydropathy,0.06381706443374295
logFC_Anther,0.06130607332576486
prot_len,0.05342967565670258
FDR_AR,0.05126846746112009
ltpm_Anther_B,0.04741889496057683
aa_R,0.04718249973854401
ltpm_youngEm_B,0.04665134169996958
n_tissue_up,0.04440705179297725
cv_AR_B0,0.042427698713370134
ltpm_noelim_mean,0.041915295276127584
ltpm_LCM_Root_B0,0.04138430861481318
FDR_Anther,0.039299353265122315
frac_aromatic,0.03855229527337003
cv_Root_B0,0.038534694131623436
aa_N,0.03406690084254133
ltpm_youngEm_B0,0.03204702263613481
cv_LCM_Root_B0,0.03180250210269688
logFC_Root,0.03123773870070299
AR_vs_Root,0.031229495721016378
ltpm_MatEm_B,0.029856339924748287
logFC_Leaf,0.02736152607145188
cv_Anther_B0,0.02701293016528045
ltpm_Leaf_B,0.02599727280548008
cv_youngEm_B,0.02477954288778287
logFC_MatEm,0.023649676834526588
FDR_Leaf,0.02257959923225479
aa_E,0.019112534458348745
ltpm_Anther_B0,0.017771888203562278
cv_MatEm_B0,0.017696602569946384
FDR_Root,0.016907259253577136
cv_youngEm_B0,0.01471677612402563
tested_Root,0.010298065110782201
tested_Leaf,0.010284497057905123
cv_Leaf_B0,0.009132479706185224
n_tissue_sig,0.007170224520915733
ltpm_MatEm_B0,0.00605830783086237
hom_n_pos,0.004881974447013149
ltpm_Root_B0,0.004860177248997795
has_protein,0.0044566582594020845
n_tissue_expr,0.00347728578583528
sig_AR,0.003455007028322552
n_transcripts,0.003276841893649111
ltpm_AR_B,0.0027185630792370763
ltpm_AR_B0,0.0019735519806815378
sig_LCM_Root,0.000490971033495589
ltpm_Leaf_B0,0.0
log_exon_len,0.0
log_span,0.0
ltpm_anther,0.0
tested_youngEm,0.0
sig_youngEm,0.0
sig_Leaf,0.0
tested_Anther,0.0
tested_AR,0.0
tested_MatEm,0.0
sig_Root,0.0
sig_MatEm,0.0
sig_Anther,0.0
tested_LCM_Root,0.0
log_prot_len,0.0
