config,n_feat,pr_std,pr_std_sd,roc_std,pr_grp,pr_grp_sd,roc_grp
expression only,70,0.07077565788583615,0.04183112333260556,0.5261445638420337,0.0431746268042871,0.004613329703196885,0.5012810390847212
+ gene structure,77,0.10167002410696505,0.03924515535845596,0.6631505028018,0.07946368272654511,0.016367884401048364,0.6250895177458229
+ physicochemical,87,0.19696581654393638,0.05056632978942591,0.7536214692087413,0.08940795868168859,0.02044440693975553,0.7018038801359247
+ aa composition,107,0.3335645058135662,0.11374045740857137,0.772215413943355,0.16491463191537054,0.03400452423791059,0.697824303772898
+ co-expr & homology (full),111,0.4007955798434417,0.15210381482545365,0.790692042222032,0.12821461336861933,0.054864606016963836,0.6741854128178386
homology+coexpr only,4,0.21025580335951521,0.06793861463041509,0.748773142202053,0.054175670752592,0.010887175874419348,0.5960797172644019
